"","member_casual","month","number_of_rides","average_duration"
"1","casual","01",18117,1541.07539879672
"2","casual","02",10131,2962.39374198009
"3","casual","03",84032,2289.55114718198
"4","casual","04",136601,2281.37938960974
"5","casual","05",86844,3073.052197043
"6","casual","06",154551,3099.98647048543
"7","casual","07",268688,3596.95031039729
"8","casual","08",288639,2695.8902227344
"9","casual","09",230072,2293.16928178925
"10","casual","10",144529,1815.3117021499
"11","casual","11",87911,1909.16818145595
"12","casual","12",29997,1610.97643097642
"13","member","01",78715,772.338702915587
"14","member","02",39491,1081.32508672859
"15","member","03",144462,838.203126081622
"16","member","04",200624,881.352659701653
"17","member","05",113258,1186.34092955905
"18","member","06",187985,1123.89059233449
"19","member","07",281047,1065.93474756892
"20","member","08",330953,1009.99731079646
"21","member","09",300754,932.407352853161
"22","member","10",242213,842.963214195758
"23","member","11",170940,815.307856557848
"24","member","12",101142,764.961450238281
